=== Tier 1 ===						=== Tier 2 ===						=== Tier 3 ===						=== No Evolution Line ===				
name	L20	L25	L30	L35		name	L20	L25	L30	L35		name	L20	L25	L30	L35		name	L20	L25	L30	L35
Bulbasaur	563	703	844	915		Ivysaur	879	1098	1318	1428		Venusaur	1437	1797	2156	2336		Raichu (Alola)	1198	1498	1798	1948
Charmander	490	613	736	797		Charmeleon	853	1067	1280	1387		Charizard	1529	1912	2295	2486		Farfetch’d	628	785	942	1020
Squirtle	472	590	708	767		Wartortle	764	955	1146	1241		Blastoise	1297	1622	1946	2108		Exeggutor (Alola)	1597	1997	2396	2596
Caterpie	202	253	303	328		Metapod	207	259	311	337		Butterfree	948	1185	1422	1541		Kangaskhan	1363	1704	2045	2215
Weedle	212	265	318	345		Kakuna	199	248	298	323		Beedrill	958	1198	1438	1557		Pinsir	1567	1959	2351	2547
Pidgey	330	413	496	537		Pidgeotto	605	756	907	983		Pidgeot	1113	1391	1670	1809		Tauros	1382	1728	2074	2247
						Pikachu	468	585	702	760		Raichu	1141	1427	1713	1855		Tauros (Paldea_aqua)	1501	1877	2252	2440
						Nidorina	667	834	1000	1084		Nidoqueen	1309	1637	1964	2128		Lapras	1391	1739	2087	2261
						Nidorino	712	890	1069	1158		Nidoking	1352	1691	2029	2198		Ditto	411	513	616	668
						Clefairy	583	729	875	948		Clefable	1281	1602	1922	2082		Aerodactyl	1471	1839	2207	2391
						Jigglypuff	345	431	518	561		Wigglytuff	995	1244	1493	1618		Typhlosion (Hisuian)	1586	1983	2380	2578
						Golbat	1030	1287	1545	1673		Vileplume	1349	1686	2023	2192		Unown (A)	599	749	899	974
						Gloom	869	1086	1303	1412		Poliwrath	1363	1704	2045	2216		Girafarig	1067	1334	1601	1735
						Primeape	1199	1498	1798	1948		Alakazam	1618	2023	2428	2630		Qwilfish	1070	1337	1605	1739
						Poliwhirl	726	908	1090	1181		Machamp	1621	2026	2431	2634		Shuckle	164	206	247	268
						Kadabra	1070	1338	1605	1739		Victreebel	1277	1596	1916	2075		Heracross	1646	2058	2469	2675
