=== Tier 1 (345) ===
name                  L10   L15   L20   L25   L30   L35
Bulbasaur             281   422   563   703   844   915
Charmander            245   368   490   613   736   797
Squirtle              236   354   472   590   708   767
Caterpie              101   151   202   253   303   328
Weedle                106   159   212   265   318   345
Pidgey                165   248   330   413   496   537
Rattata               179   269   359   449   539   584
Spearow               195   293   391   489   587   636
Ekans                 231   346   462   578   693   751
Sandshrew (Alola)     329   494   659   824   988   1071
Sandshrew             321   481   641   802   962   1043
Nidoran♀              201   301   402   502   603   653
Nidoran♂              213   319   426   532   639   692
Vulpix                219   329   439   548   658   713
Zubat                 161   242   323   404   485   526
Oddish                312   468   624   780   936   1014
Paras                 255   383   510   638   766   830
Venonat               251   377   502   628   754   817
Diglett (Alola)       165   248   331   414   496   538
Diglett               164   246   328   410   492   533
Meowth (Alola)        196   294   393   491   589   638
Meowth (Galarian)     260   389   519   649   779   844
Meowth                183   275   367   458   550   596
Psyduck               279   418   557   697   837   906
Mankey                294   441   588   735   882   955
Growlithe (Hisuian)   336   505   673   841   1010  1094
Growlithe             315   473   631   789   946   1025
Poliwag               204   307   409   512   614   665
Abra                  340   510   680   850   1020  1105
Machop                324   486   648   810   973   1054
Bellsprout            257   386   515   644   773   837
Tentacool             261   391   522   653   783   849
Geodude               329   494   659   823   988   1071
Ponyta                438   658   877   1096  1316  1426
Slowpoke              310   465   620   775   930   1008
Magnemite             347   520   694   868   1041  1128
Farfetch’d            432   648   864   1080  1296  1404
(Galarian)
Doduo                 303   455   606   758   910   986
Seel                  242   363   484   605   726   787
Grimer                350   525   700   875   1050  1138
Shellder              272   408   544   680   816   884
Gastly                309   464   618   773   928   1005
Onix                  275   413   551   689   827   896
Drowzee               260   391   521   651   782   847
Krabby                401   601   801   1002  1202  1302
Voltorb               253   380   506   633   760   823
Exeggcute             297   446   594   743   892   966
Cubone                255   382   510   638   765   829
Lickitung             360   540   720   900   1080  1170
Koffing               308   462   616   770   924   1001
Rhyhorn               426   639   852   1065  1278  1385
Tangela               586   879   1172  1466  1759  1906
Horsea                265   398   531   664   797   863
Goldeen               291   437   583   728   874   947
Staryu                292   439   585   731   878   951
Mr. Mime (Galarian)   539   809   1079  1349  1619  1754
Scyther               714   1072  1429  1786  2144  2322
Magikarp              59    88    118   147   177   192
Eevee                 269   404   539   673   808   875
Porygon               445   667   890   1112  1335  1446
Omanyte               397   595   794   993   1191  1291
Kabuto                350   525   700   875   1050  1137
Dratini               251   377   503   629   755   818
Chikorita             233   349   466   582   699   757
Cyndaquil             245   368   490   613   736   797
Totodile              286   429   571   714   858   929
Sentret               149   223   298   372   447   484
Hoothoot              163   245   327   409   491   532
Ledyba                177   266   355   444   532   577
Spinarak              201   302   402   503   604   654
Chinchou              282   422   563   704   845   916
Pichu                 111   167   222   278   334   361
Cleffa                162   244   325   407   488   529
Igglybuff             123   185   247   309   371   402
Togepi                159   238   318   397   477   517
Natu                  277   416   555   694   833   902
Mareep                247   371   495   619   743   804
Hoppip                144   216   288   360   432   468
Aipom                 344   516   688   860   1033  1119
Sunkern               90    136   181   227   272   295
Yanma                 376   564   752   941   1129  1223
Wooper                154   231   309   386   463   502
Murkrow               400   601   801   1001  1202  1302
Misdreavus            501   752   1002  1253  1504  1629
Pineco                279   419   559   699   839   909
Dunsparce             435   653   871   1089  1307  1416
Gligar                482   723   964   1205  1447  1567
Snubbull              313   470   627   784   941   1019
Qwilfish (Hisuian)    558   837   1117  1396  1675  1815
Sneasel               535   802   1070  1337  1605  1739
Teddiursa             338   507   676   846   1015  1099
Slugma                222   333   444   555   666   721
Swinub                181   271   362   452   543   588
Corsola (Galarian)    384   576   768   960   1152  1248
Remoraid              226   339   452   566   679   735
Houndour              312   469   625   781   938   1016
Phanpy                305   457   609   762   914   991
Tyrogue               116   173   231   289   347   376
Smoochum              328   492   656   821   985   1067
Elekid                306   458   611   764   917   994
Magby                 337   505   674   843   1011  1096
Larvitar              261   391   522   653   783   849
Treecko               264   397   529   661   794   860
Torchic               275   413   550   688   826   895
Mudkip                284   427   569   712   854   925
Poochyena             164   246   329   411   493   535
