word,hardListHits
abdicate,2
abhor,2
abide,1
abound,2
abreast,2
abridge,1
abrogate,2
abscission,1
abstemioius,1
abstract,1
abstruse,2
abyss,1
accessible,1
acclaim,1
accretion,2
acidulous,2
acolyte,1
acquisitive,1
acrimonious,1
activism,1
acumen,3
adept,1
adhere,1
adjudicate,1
adroit,2
adumbrate,1
aerie,2
affected,1
affinity,1
afford,1
affront,1
aggrandize,3
agitate,1
albeit,1
alienate,2
alleviate,3
allusive,1
aloof,2
altruistic,1
amalgamation,1
ambivalence,1
ambivalent,2
amend,1
amulet,1
anachronism,3
anachronistic,3
analgesia,1
analgesic,1
anathema,1
anemic,1
annul,1
anoint,2
antagonize,2
anthropocentrism,1
antic,1
antithetical,1
apathy,4
aplomb,1
apogee,2
apostle,1
apothegm,1
approbatory,1
appropriate,3
appurtenant,1
arbiter,1
arch,1
arrant,1
arresting,1
arriviste,1
artifact,1
artifice,1
artless,4
artlessness,1
ascetic,4
aseptic,1
aspersions,1
assertive,1
assiduously,1
attenuate,5
attuned,1
auspicious,2
autocratic,1
autonomous,1
autonomy,1
auxiliary,1
avuncular,1
axiomatic,1
balloon,1
baroque,1
barrage,1
barren,1
base,3
bastardization,1
bawdy,1
baying,1
befuddled,1
beg,1
belfry,1
bemoan,1
berate,1
bereft,2
besotted,1
betray,2
bevy,2
bifurcate,2
bilk,2
blight,2
blinkered,1
blithe,3
bogus,2
bonhomie,2
boor,2
bowdlerize,1
brandish,1
bravado,1
brazen,2
bridle,2
bristle,1
broadside,1
bromide,2
browbeat,1
buffer,1
buoyant,1
bureaucracy,1
bygone,1
byzantine,3
cacophonous,2
cacophony,1
callow,2
calumny,3
canard,3
canny,1
canonical,1
canonize,2
cantankerous,1
caricature,1
cartographer,1
cartography,1
castigate,3
cataclysm,2
cataclysmic,1
cathartic,2
catholic,3
cease,1
celerity,1
charlatan,2
chauvinism,2
chauvinistic,1
cherish,1
chicanery,4
chimera,1
chronological,1
churlish,3
circumlocution,1
circumscribe,2
circumscribed,1
clamber,1
clamor,1
clamorous,1
clangor,1
clinch,1
cloak,1
cloying,2
coagulate,2
coda,2
coddle,1
coercion,1
coffer,2
cogitate,1
coin,1
collaborate,1
collude,2
comity,1
commence,1
compelling,2
compendium,2
competent,1
complaisant,3
complicit,1
comply,1
compromise,1
concede,1
conciliate,2
conclusive,1
concur,1
conflagaration,1
conflagration,2
conflate,1
confound,3
congenial,2
conjectural,1
connote,1
consensus,1
console,1
consolidate,1
constrict,1
contention,1
contextualize,1
contraries,1
contravene,1
contretemps,1
contumacious,2
convalescent,1
conventional,1
conversant,1
conversely,1
conviction,1
convoke,1
corollary,1
corporeal,1
correlate,1
cosset,2
cosseted,1
coterie,2
coterminous,1
countenance,2
counterintuitive,1
counterpoint,1
counterproductive,1
cow,1
crafty,1
credibility,1
crescendo,3
crestfallen,2
croon,1
crystallize,1
curb,1
dalliance,1
daunting,2
dawdle,1
debilitating,1
debonair,1
debutante,1
decadent,1
decipher,1
declaim,1
decourous,1
decry,2
deem,1
deface,1
default,1
deflect,2
deft,2
deify,2
deject,1
delimit,1
delineate,4
delusion,1
demagogue,2
demarcate,1
demonstrative,1
demur,3
denote,1
deportment,1
depravity,1
desiccate,4
desiccated,1
desideratum,1
despoiler,1
despot,2
despotic,1
desultory,4
detached,1
detente,1
deterrent,2
deviate,1
diaphanous,2
dictate,1
digression,1
dilate,1
dilatory,3
diminutive,2
dirge,4
discern,1
discernible,1
discerning,2
discomfiting,1
discount,1
discredit,2
disdain,2
disentangle,1
disillusion,1
disinterested,3
disjointed,1
dismiss,1
dispensation,1
dispense,1
disperse,2
disquieting,1
dissembler,1
disseminate,4
dissent,2
dissident,1
dissipate,1
dissonance,3
distaff,2
distort,1
distressed,1
dither,2
diurnal,2
diverge,1
divergent,1
divert,1
divine,2
divorced,1
doctrinaire,3
document,1
documentary,1
doff,1
dogmatic,4
doleful,1
dolorous,1
dormant,2
doughty,1
dovetail,2
dowdy,1
draconian,1
droll,3
dubious,3
duplicitous,1
duplicity,2
duress,1
dwindling,1
ebullient,5
echelon,2
eclipse,2
economy,1
edify,3
effacing,1
effervescent,1
efficacious,2
efficacy,2
effigy,2
effrontery,5
effusive,1
egalitarian,2
egress,1
elated,2
elegiac,1
elegy,3
elementary,1
elevate,1
elicit,4
elitist,1
emaciate,1
embryonic,1
eminent,2
emissary,1
emollient,1
empiricism,1
enchant,1
encomium,2
encroach,1
encyclopedic,1
enervated,1
enhance,1
ennui,2
enormity,1
enthrall,2
entitled,1
entitlement,1
entrenched,1
epicure,2
epigram,1
epiphany,1
epistolary,1
eponym,1
equanimity,4
equitable,3
erroneous,1
ersatz,3
erudite,3
erudition,1
escalate,1
esoteric,4
estranged,1
ethos,2
euphoric,1
evade,1
evoke,1
exacting,2
exasperated,1
exhaustive,2
exhilarating,1
exigent,3
exiguity,1
exorcise,1
exotic,1
expansive,1
expatriate,1
expedient,2
expedite,1
explicable,1
explicator,1
explicit,2
exploitative,1
exponent,2
expunge,1
expurgate,3
extemporize,1
extrapolate,3
extrapolation,1
exuberant,1
fabricate,1
fallacious,3
fallible,2
falter,1
fanatical,1
fanciful,2
fastidious,3
feasible,2
feckless,2
fecund,4
feeble,1
feign,1
feint,1
felicity,1
fell,1
fervid,3
fervor,2
fester,1
fetid,2
figurative,2
finesse,1
finicky,1
flagrant,1
fleeting,1
flippant,2
florid,2
flotsam,1
fluke,1
flummox,1
flummoxed,1
flustered,1
foment,3
fomentation,1
foppish,1
forage,1
forbear,1
foreseeable,1
foreshadow,1
forfeit,1
fortify,1
frailty,1
frenetic,3
fret,1
fringe,2
frivolous,2
fruitful,1
fulcrum,1
fungible,1
gaffe,2
galvanize,1
gambit,1
gambol,2
gauche,2
gawky,2
germane,2
gerrymander,1
gestation,1
glacial,1
glum,1
goosebumps,1
gradation,2
graft,2
grandstand,1
gratify,1
grating,1
gratuitous,2
grievance,1
grievous,2
grouse,1
guile,2
gumption,1
gustatory,1
hagiographic,1
hail,1
hallmark,1
hand-wringing,1
haphazard,1
hapless,3
harangue,4
harbinger,1
hardy,1
harrow,1
haughty,1
hauteur,1
haven,1
headstrong,1
heady,1
hearken,1
hector,1
hedge,2
hedonist,2
hermetic,2
heterodox,1
heterogeneous,2
hierarchy,1
hinder,1
histrionic,3
hobble,1
homage,1
homogeneous,2
hotly,1
hubris,2
husband,2
hysterical,1
iconoclastic,2
idiosyncratic,1
idolatrious,1
idolatry,2
idyllic,1
ignoble,2
illiberality,1
imbroglio,2
imbue,2
immaculate,1
impair,3
impartial,1
impasse,2
impecunious,3
imperious,3
impervious,4
impious,2
implication,1
implicit,3
implode,2
importuned,1
imprecation,2
improvise,1
impute,3
inanity,1
inasmuch,1
inborn,1
incarnadine,2
incendiary,2
incentive,1
inchoate,4
incongruous,2
inconstancy,1
incontrovertible,3
incorporate,1
incredulous,3
indecorous,1
indeterminate,1
indictment,1
indigence,2
indigent,1
indiscriminate,1
indispensable,1
ineffable,2
ineluctable,2
inequity,1
inerlocutor,1
inexorable,2
infelicitous,1
inform,2
ingenious,1
ingenue,1
ingenuous,3
ingrate,2
inhibit,1
iniquity,2
inordinate,1
inquest,1
insensible,1
insidious,1
insolence,1
insolent,1
insouciance,1
insufferable,1
insularity,1
insurrection,2
intelligible,1
inter,2
interchangeable,1
internecine,1
interplay,1
interregnum,2
intertwined,1
intimation,1
